treecanopy,health,bad_health,mental_health,employment,income,seniors,ethnicity,education,Green_Percentage,air_pollution
0.121968459,0.747745552,0.052546046,0.156362478,0.756772422,0.813047058,0.106314085,0.439459459,0.299485,44.92563419,0.586196206
0.124719335,0.708292713,0.063211845,-0.0148474,0.732977425,0.853883924,0.091116173,0.44002274,0.297045,20.38910593,0.573373289
0.161512232,0.575615403,0.051442308,-0.282310177,0.697010372,0.790509012,0.106046065,0.44080847,0.316883,58.13246655,0.568842086
0.128023212,0.55669632,0.066728452,-0.261036057,0.795118975,0.811705145,0.085450346,0.4345816,0.280982,23.18112361,0.57197988
0.089791819,0.798105045,0.05981417,0.133820798,0.824222087,0.878892311,0.085896692,0.506115317,0.273643,24.20959397,0.573028503
0.100476407,0.529277358,0.069963177,-0.412022986,0.732519829,0.844978499,0.078462349,0.480252765,0.282222,19.14734492,0.567757346
0.090630019,0.533725323,0.060570763,-0.104939813,0.775106772,0.843301107,0.108265425,0.416083916,0.304754,52.14401093,0.556090624
0.080873074,0.702321472,0.065205171,-0.257949748,0.788682123,0.778279301,0.06772009,0.443693694,0.306199,36.53927284,0.567350579
0.092011195,0.613270777,0.049670552,-0.239505298,0.691336181,0.712007076,0.085685484,0.479757085,0.294352,15.96434467,0.555178452
0.117871167,0.459633195,0.045097011,-0.697285141,0.674923734,0.702735674,0.089481947,0.428198433,0.297222,22.32559735,0.5624065
0.112345645,0.669906166,0.059833507,-0.367722126,0.755460647,0.789563573,0.088037286,0.483099324,0.264451,26.74094595,0.56960489
0.091192481,0.661436754,0.052155772,-0.246714015,0.774679683,0.846686389,0.099443672,0.396935933,0.281365,27.3215934,0.556311178
0.090999954,0.405678772,0.048082775,-0.30568701,0.719585113,0.774741529,0.105710814,0.40036452,0.28606,21.9107597,0.57247686
0.097624541,0.843590056,0.054558011,1.133199459,0.776967663,0.828326573,0.105736006,0.41995842,0.28663,25.46008162,0.557301533
