MHI_2022,LSOA22
-0.096109561,E01000754
-0.219375962,E01000755
-0.191811958,E01000756
-0.183636146,E01000757
-0.345826774,E01000758
-0.013619466,E01000759
0.610909399,E01000760
-0.082473708,E01000761
-0.343307657,E01000762
-0.204701143,E01000763
0.020165524,E01000764
0.115055966,E01000765
-0.30870351,E01000766
-0.124837869,E01000767
-0.167888903,E01000768
0.395977113,E01000769
0.112070683,E01000770
-0.124766951,E01000771
0.224498647,E01000772
0.039011589,E01000773
-0.437899996,E01000774
-0.037570581,E01000775
-0.058774663,E01000777
0.066603369,E01000778
0.604806253,E01000779
0.052466823,E01000780
0.487434199,E01000781
0.253998587,E01000782
0.964257554,E01000783
-0.303172676,E01000784
0.676947191,E01000785
0.28922733,E01000786
0.988316097,E01000787
0.172160929,E01000788
0.782948645,E01000789
-0.125410527,E01000790
0.438204007,E01000791
0.045556748,E01000792
-0.104193099,E01000793
-0.144611576,E01000794
-0.185229784,E01000795
0.210097909,E01000796
0.052729858,E01000797
0.458548416,E01000798
-0.148527368,E01000799
-0.177017917,E01000800
0.071785544,E01000801
0.121426937,E01000802
-0.167838473,E01000803
-0.273240471,E01000804
0.387586644,E01000805
-0.062867756,E01000806
-0.25449505,E01000807
-0.301028643,E01000808
-0.37492196,E01000809
-0.449257311,E01000810
-0.371511141,E01000811
0.242429021,E01000812
-0.312937483,E01000813
-0.431180625,E01000814
-0.570413814,E01000815
0.060528749,E01000816
-0.497832238,E01000818
0.652090681,E01000819
0.456279094,E01000820
-0.337143395,E01000822
-0.258588306,E01000823
-0.376413566,E01000824
-0.211173863,E01000825
-0.348039716,E01000826
-0.132267218,E01000827
-0.045925776,E01000828
-0.613140739,E01000829
-0.449214159,E01000830
0.228622251,E01000831
0.235338674,E01000832
-0.494610867,E01000833
-0.406741643,E01000834
0.243331984,E01000835
-0.559842554,E01000836
0.071763201,E01000837
-0.113817597,E01000838
-0.093086409,E01000839
0.574244791,E01000840
-0.04478346,E01000841
-0.675519356,E01000842
-0.492668314,E01000843
-0.864385276,E01000844
-0.272966736,E01000845
-0.072832972,E01000846
-0.348645506,E01000847
-0.837319749,E01000848
-0.544176998,E01000849
-1.360537346,E01000850
-1.294756153,E01000851
-0.658023487,E01035711
0.694585105,E01000853
-0.950570468,E01035711
-0.367812432,E01000855
0.228396413,E01000856
-0.527256496,E01000857
0.543729449,E01000858
-0.7873785,E01000859
0.021736406,E01000860
-0.175312305,E01000861
-0.662082786,E01000862
0.188931476,E01000863
-0.234626233,E01035707
-0.432795511,E01035707
-0.102955179,E01000866
0.162252339,E01000867
