bge_code,bge_type,la_name,co_name,reg_name,country,total_pop,urban_area,urban_pct,tc_goal,treecanopy,tc_gap,priority_i,inc_rank,incnorm,inc_dec,emp_rank,empnorm,emp_dec,hlth_rank,hlthnorm,hlth_dec,temp_diff,tempnorm,NO2_avg,PM25_avg,apb_index,dep_ratio,depratnorm,dep_perc,tes,la_tes,pctmineth,pct_child,pct_senior,la_code,co_code,peat
E01000049,LSOA,Barking and Dagenham,Barking,London,England,1974,0.212304387,1,0.2,0.153802293,0.046197707,0.688728963,2525,0.923022965,1,7156,0.781909701,3,10214,0.689008043,4,0.11,0.559210526,24.399,9.424,0.706719378,0.68,0.264989143,0.404761905,91,80,0.698227848,0.362715299,0.042046606,E09000002,E14000540,0
E01000050,LSOA,Barking and Dagenham,Barking,London,England,1840,0.137686228,1,0.2,0.104887257,0.095112743,0.659880741,8360,0.745188935,3,10452,0.681574131,4,7817,0.761972947,3,0.97,0.615789474,24.23,9.403,0.702747595,0.579399142,0.225265192,0.366847826,82,80,0.640217391,0.282065217,0.084782609,E09000002,E14000540,0
E01000051,LSOA,Barking and Dagenham,Barking,London,England,1105,0.066653574,1,0.2,0.056225641,0.143774359,0.659338627,4785,0.854158407,2,8540,0.739749847,3,10460,0.681513527,4,0.03,0.553947368,24.348,9.435,0.70671203,0.497289973,0.192842998,0.332126697,73,80,0.767148014,0.308597285,0.023529412,E09000002,E14000540,0
E01000052,LSOA,Barking and Dagenham,Barking,London,England,2365,0.199692226,1,0.2,0.109347552,0.090652448,0.60808958,7440,0.773216628,3,10931,0.667022575,4,18434,0.438703388,7,-0.04,0.549342105,24.689,9.359,0.70659275,0.648083624,0.252386422,0.393234672,84,80,0.599746407,0.310359408,0.082875264,E09000002,E14000540,0
E01000053,LSOA,Barking and Dagenham,Barking,London,England,1616,0.18100538,1,0.2,0.1185892,0.0814108,0.677214028,5037,0.846472902,2,8972,0.726601586,4,6865,0.790976115,3,0.98,0.616447368,21.695,8.724,0.618160553,0.640609137,0.249434994,0.390470297,84,80,0.465634675,0.269183168,0.121287129,E09000002,E14000540,0
E01000054,LSOA,Barking and Dagenham,Barking,London,England,1868,0.171209327,1,0.2,0.092518938,0.107481062,0.612686403,8012,0.755802251,3,13318,0.594295302,5,13087,0.60157202,5,1.17,0.628947368,19.438,8.479,0.567553424,0.692028986,0.269738991,0.408993576,81,80,0.418045916,0.302462527,0.106531049,E09000002,E14000540,0
E01000055,LSOA,Barking and Dagenham,Barking,London,England,1705,0.146108815,1,0.2,0.077438488,0.122561512,0.626334033,6032,0.81612736,3,10475,0.680872483,4,14090,0.571015111,5,1.14,0.626973684,19.936,8.545,0.579540226,0.602443609,0.23436469,0.375953079,78,80,0.444509689,0.277419355,0.098533724,E09000002,E14000540,0
E01000056,LSOA,Barking and Dagenham,Barking,London,England,1699,0.243633591,1,0.24,0.093298885,0.146701115,0.660933108,6839,0.791545945,3,7099,0.783648566,3,9652,0.706129661,4,0.86,0.608552632,20.816,8.631,0.598617388,0.644724105,0.251059859,0.391995291,72,80,0.411971831,0.281341966,0.110653325,E09000002,E14000540,0
E01000057,LSOA,Barking and Dagenham,Barking,London,England,1554,0.147745415,1,0.2,0.074024689,0.125975311,0.618297384,6909,0.789411083,3,9877,0.699023795,4,14559,0.556726785,5,0.54,0.5875,19.379,8.502,0.568250882,0.653191489,0.254403349,0.395109395,77,80,0.456535737,0.294079794,0.101029601,E09000002,E14000540,0
E01000058,LSOA,Barking and Dagenham,Barking,London,England,2138,0.182287754,1,0.2,0.109091308,0.090908692,0.607658629,6736,0.794687243,3,10069,0.693197071,4,13772,0.580703144,5,-0.04,0.549342105,18.957,8.399,0.554859071,0.544797688,0.211602223,0.352666043,84,80,0.534644195,0.280168382,0.072497661,E09000002,E14000540,0
E01000059,LSOA,Barking and Dagenham,Barking,London,England,1713,0.208488687,1,0.2,0.111844931,0.088155069,0.619769484,8297,0.747110311,3,8597,0.738010982,3,13932,0.575828662,5,0.41,0.578947368,19.588,8.474,0.569454444,0.656673114,0.255778127,0.396380619,84,80,0.381871345,0.263864565,0.132516054,E09000002,E14000540,0
E01000060,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2180,0.550240848,1,0.3,0.151549284,0.148450716,0.63748242,6512,0.801488304,3,8627,0.73709579,3,11879,0.63837436,5,0.83,0.606578947,18.392,8.179,0.531288412,0.688613478,0.26839032,0.407798165,73,80,0.518127581,0.313761468,0.094036697,E09000002,E14000657,0
E01000061,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1936,0.598362168,1,0.3,0.13345337,0.16654663,0.715657426,2125,0.935222178,1,3923,0.8804759,2,4136,0.874055569,2,1.6,0.657236842,18.043,8.103,0.520844118,0.607973422,0.23654823,0.378099174,66,80,0.523068948,0.318181818,0.059917355,E09000002,E14000657,0
E01000062,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2218,0.221452351,1,0.2,0.089240086,0.110759914,0.559500361,11124,0.661014365,4,14664,0.553264185,5,18285,0.443242749,7,1.05,0.621052632,18.723,8.29,0.543868195,0.618978102,0.240893614,0.38232642,82,80,0.482167043,0.269612263,0.112714157,E09000002,E14000657,0
E01000063,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1785,0.181279381,1,0.2,0.115038995,0.084961005,0.624410637,7943,0.757906615,3,9225,0.718913972,4,11816,0.640293688,5,0.44,0.580921053,19.101,8.455,0.560861596,0.609558161,0.237173991,0.378711485,85,80,0.428008999,0.283473389,0.095238095,E09000002,E14000657,0
E01000064,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,2286,0.208867335,1,0.2,0.144493498,0.055506502,0.63740438,6220,0.81039373,3,8440,0.742800488,3,10490,0.680599561,4,0.16,0.5625,18.738,8.304,0.545054587,0.620127569,0.241347501,0.382764654,90,80,0.52179599,0.276027997,0.106736658,E09000002,E14000657,0
E01000065,LSOA,Barking and Dagenham,Dagenham and Rainham,London,England,1977,0.233677602,1,0.2,0.105659804,0.094340196,0.684721595,5065,0.845618958,2,4770,0.85466748,2,5745,0.825067024,3,0.35,0.575,18.885,8.428,0.555774258,0.621821165,0.242016246,0.383409206,81,80,0.4375,0.250379363,0.133029843,E09000002,E14000657,0
E01000066,LSOA,Barking and Dagenham,Barking,London,England,2502,0.244983906,1,0.2,0.132074265,0.067925735,0.583244503,10725,0.67318308,4,13108,0.600671141,5,15169,0.538142822,6,0.46,0.582236842,20.127,8.668,0.590849594,0.607969152,0.236546544,0.378097522,88,80,0.757818765,0.274180655,0.103916867,E09000002,E14000540,0
E01000067,LSOA,Barking and Dagenham,Barking,London,England,2238,0.192527467,1,0.2,0.104792061,0.095207939,0.518421117,12329,0.624294733,5,19905,0.393746187,7,21963,0.331251523,8,0.64,0.594078947,20.442,8.697,0.597555767,0.638360176,0.248546954,0.389633601,86,80,0.735241503,0.284629133,0.105004468,E09000002,E14000540,0
E01000068,LSOA,Barking and Dagenham,Barking,London,England,1796,0.339516346,1,0.24,0.179579253,0.060420747,0.559860816,13349,0.593217237,5,17599,0.463971934,6,13509,0.588715574,5,0.71,0.598684211,22.064,8.922,0.637286698,0.47454844,0.183863119,0.321826281,90,80,0.743589744,0.213808463,0.108017817,E09000002,E14000540,0
E01000069,LSOA,Barking and Dagenham,Barking,London,England,2089,0.200651229,1,0.2,0.0934901,0.1065099,0.482257105,18292,0.442739943,7,18888,0.424679683,7,25051,0.23723495,9,1.19,0.630263158,21.215,8.826,0.617986317,0.503959683,0.195476646,0.335088559,85,80,0.741305384,0.240785065,0.094303494,E09000002,E14000540,0
E01000070,LSOA,Barking and Dagenham,Barking,London,England,2067,0.386007235,1,0.24,0.136542802,0.103457198,0.514376724,14981,0.543535942,6,17070,0.480079317,6,22662,0.309986595,8,0.53,0.586842105,20.994,8.803,0.613098999,0.588777863,0.228968539,0.370585389,84,80,0.759053597,0.250604741,0.119980648,E09000002,E14000540,0
E01000071,LSOA,Barking and Dagenham,Barking,London,England,2604,0.267714464,1,0.2,0.208890932,0,0.511469351,12518,0.618530605,5,22157,0.325228798,8,20051,0.389440653,7,0.32,0.573026316,21.138,8.812,0.615872171,0.568674699,0.221030464,0.362519201,100,80,0.725806452,0.265360983,0.097158218,E09000002,E14000540,0
E01000072,LSOA,Barking and Dagenham,Barking,London,England,2155,0.485143988,1,0.24,0.148621589,0.091378411,0.653318067,4451,0.864314252,2,7689,0.765649786,3,9357,0.715116988,4,-0.64,0.509868421,20.139,8.639,0.58903658,0.628873772,0.244801087,0.386078886,83,80,0.509073988,0.302088167,0.083990719,E09000002,E14000540,0
E01000073,LSOA,Barking and Dagenham,Barking,London,England,1853,0.284767778,1,0.24,0.121968459,0.118031541,0.668077871,6133,0.813047058,3,7982,0.756772422,3,8284,0.747745552,3,1.11,0.625,19.94,8.641,0.586196206,0.663375224,0.258424569,0.398812736,77,80,0.439459459,0.292498651,0.106314085,E09000002,E14000540,0
E01000074,LSOA,Barking and Dagenham,Barking,London,England,1756,0.164214512,1,0.2,0.124719335,0.075280665,0.655728262,4794,0.853883924,2,8763,0.732977425,4,9581,0.708292713,4,0.5,0.584868421,19.455,8.56,0.573373289,0.645735708,0.251459307,0.392369021,86,80,0.44002274,0.301252847,0.091116173,E09000002,E14000540,0
E01000075,LSOA,Barking and Dagenham,Barking,London,England,2084,0.507723655,1,0.24,0.161512232,0.078487768,0.613496396,6873,0.790509012,3,9943,0.697010372,4,13939,0.575615403,5,-0.01,0.551315789,19.368,8.513,0.568842086,0.616757176,0.240016644,0.381477927,86,80,0.44080847,0.275431862,0.106046065,E09000002,E14000540,0
E01000076,LSOA,Barking and Dagenham,Barking,London,England,2165,0.190630502,1,0.2,0.128023212,0.071976788,0.627659549,6177,0.811705145,3,6722,0.795118975,3,14560,0.55669632,5,0.18,0.563815789,19.518,8.526,0.57197988,0.562049062,0.21841422,0.359815242,87,80,0.4345816,0.274364896,0.085450346,E09000002,E14000540,0
E01000077,LSOA,Barking and Dagenham,Barking,London,England,1723,0.17393075,1,0.2,0.089791819,0.110208181,0.685792417,3973,0.878892311,2,5768,0.824222087,3,6631,0.798105045,3,0.93,0.613157895,19.409,8.565,0.573028503,0.560688406,0.217876942,0.35925711,78,80,0.506115317,0.273360418,0.085896692,E09000002,E14000540,0
E01000078,LSOA,Barking and Dagenham,Barking,London,England,1899,0.175872284,1,0.2,0.100476407,0.099523593,0.626890234,5086,0.844978499,2,8778,0.732519829,4,15460,0.529277358,6,0.57,0.589473684,19.245,8.524,0.567757346,0.63848145,0.248594841,0.389678778,82,80,0.480252765,0.31121643,0.078462349,E09000002,E14000540,0
E01000079,LSOA,Barking and Dagenham,Barking,London,England,1718,0.309778146,1,0.24,0.090630019,0.149369981,0.639893964,5141,0.843301107,2,7379,0.775106772,3,15314,0.533725323,6,1.38,0.642763158,18.874,8.435,0.556090624,0.637750238,0.24830611,0.389406286,72,80,0.416083916,0.281140861,0.108265425,E09000002,E14000540,0
E01000080,LSOA,Barking and Dagenham,Barking,London,England,1772,0.23143817,1,0.24,0.080873074,0.159126926,0.653293567,7274,0.778279301,3,6934,0.788682123,3,9777,0.702321472,4,1.51,0.651315789,19.227,8.522,0.567350579,0.517123288,0.200674518,0.340857788,70,80,0.443693694,0.273137698,0.06772009,E09000002,E14000540,0
E01000081,LSOA,Barking and Dagenham,Barking,London,England,1984,0.185840563,1,0.2,0.092011195,0.107988805,0.609111641,9449,0.712007076,4,10130,0.691336181,4,12703,0.613270777,5,0.81,0.605263158,18.836,8.43,0.555178452,0.558523174,0.217021963,0.358366935,81,80,0.479757085,0.272681452,0.085685484,E09000002,E14000540,0
E01000082,LSOA,Barking and Dagenham,Barking,London,England,1911,0.160768251,1,0.2,0.117871167,0.082128833,0.579870081,9753,0.702735674,4,10671,0.674923734,4,17747,0.459633195,6,0.4,0.578289474,19.117,8.474,0.5624065,0.568965517,0.221145299,0.362637363,86,80,0.428198433,0.273155416,0.089481947,E09000002,E14000540,0
